,Unnamed: 0,Unnamed: 0.1,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
13,13,13,839.73651,839.7565300000001,839.73651,839.7565300000001,2014-01-07T19:27:21.0000000Z,2014-01-07T19:27:08.0000000Z,2014-01-07T19:28:00.0000000Z,2014-01-07T19:27:00.0000000Z,3,0.10361625
14,14,14,835.02003,835.02003,835.02002,835.02003,2014-01-07T19:28:52.0000000Z,2014-01-07T19:28:31.0000000Z,2014-01-07T19:29:00.0000000Z,2014-01-07T19:28:00.0000000Z,4,0.175
15,15,15,835.02002,835.02003,835.02002,835.02002,2014-01-07T19:29:55.0000000Z,2014-01-07T19:29:00.0000000Z,2014-01-07T19:30:00.0000000Z,2014-01-07T19:29:00.0000000Z,11,0.45
16,16,16,835.02002,835.02002,835.02002,835.02002,2014-01-07T19:30:00.0000000Z,2014-01-07T19:30:00.0000000Z,2014-01-07T19:31:00.0000000Z,2014-01-07T19:30:00.0000000Z,1,0.03854624
17,17,17,835.11011,835.11011,835.11011,835.11011,2014-01-07T19:36:24.0000000Z,2014-01-07T19:36:23.0000000Z,2014-01-07T19:37:00.0000000Z,2014-01-07T19:36:00.0000000Z,3,0.09919918
18,18,18,856.43882,856.43882,848.04654,848.04654,2014-01-07T19:37:46.0000000Z,2014-01-07T19:37:41.0000000Z,2014-01-07T19:38:00.0000000Z,2014-01-07T19:37:00.0000000Z,2,0.02166522
19,19,19,864.81114,864.81114,864.81114,864.81114,2014-01-07T19:39:53.0000000Z,2014-01-07T19:39:53.0000000Z,2014-01-07T19:40:00.0000000Z,2014-01-07T19:39:00.0000000Z,1,0.034
20,20,20,864.8411699999998,864.8411699999998,864.81114,864.81115,2014-01-07T19:40:54.0000000Z,2014-01-07T19:40:01.0000000Z,2014-01-07T19:41:00.0000000Z,2014-01-07T19:40:00.0000000Z,8,0.90656879
21,21,21,873.2385,873.2385,864.9141599999998,864.9141599999998,2014-01-07T19:41:17.0000000Z,2014-01-07T19:41:03.0000000Z,2014-01-07T19:42:00.0000000Z,2014-01-07T19:41:00.0000000Z,3,0.0537531
22,22,22,847.8635300000002,856.34643,847.8635300000002,856.34643,2014-01-07T19:43:39.0000000Z,2014-01-07T19:43:33.0000000Z,2014-01-07T19:44:00.0000000Z,2014-01-07T19:43:00.0000000Z,3,0.0270743
23,23,23,864.72744,864.72744,856.25396,856.25396,2014-01-07T19:59:07.0000000Z,2014-01-07T19:59:01.0000000Z,2014-01-07T20:00:00.0000000Z,2014-01-07T19:59:00.0000000Z,2,0.02156271
24,24,24,873.27482,873.27482,873.27482,873.27482,2014-01-07T20:00:51.0000000Z,2014-01-07T20:00:51.0000000Z,2014-01-07T20:01:00.0000000Z,2014-01-07T20:00:00.0000000Z,1,0.08
